name,register_url,platform,dates,ages,price,kind,source_url
"Wed, Jul 15, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=37cdde45-4fd8-11f1-99e2-0050569286b7,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Wed, Jul 15, 7:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=7f02f17f-4fd8-11f1-99e4-005056921697,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Thu, Jul 16, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=5246ddc0-4fd8-11f1-99e9-00505692a808,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Thu, Jul 16, 7:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=94d44dbd-4fd8-11f1-99e6-00505692171b,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Mon, Jul 6, 6 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=d855059a-4fd6-11f1-99e2-0050569286b7,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Tue, Jul 7, 6 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=066eb4f2-4fd7-11f1-99e2-0050569286b7,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Wed, Jul 8, 6 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=2831c152-4fd7-11f1-99e6-00505692171b,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
Kids Choice Time,https://my.lifetime.life/clubs/ma/metrowest-boston/kids.html,llm,"Monday through Thursday, school-age kids and tweens get Kids Choice Time",school-age kids and tweens,,portal,https://my.lifetime.life/clubs/ma/metrowest-boston/programs/kids/camps/summer-camps.html
Toddler Station Play: Arts & Crafts,https://my.lifetime.life/clubs/ma/metrowest-boston/classes/class-details.html?eventId=ZXhlcnA6MjQ4Ym9vazczMzMzODoyMDI2LTA2LTA3,llm,"Sunday 7, Monday 8, Tuesday 9, Wednesday 10, Thursday 11, Friday 12, Saturday 13",12 months - 2 years,,portal,https://my.lifetime.life/clubs/ma/metrowest-boston/programs/kids.html
Toddler Station Play: Create & Build,https://my.lifetime.life/clubs/ma/metrowest-boston/classes/class-details.html?eventId=ZXhlcnA6MjQ4Ym9vazczMjM4NjoyMDI2LTA2LTA3,llm,"Monday 8, Tuesday 9, Wednesday 10, Thursday 11, Friday 12, Saturday 13",12 months - 2 years,,portal,https://my.lifetime.life/clubs/ma/metrowest-boston/programs/kids.html
Toddler Station Play: Imaginative Play,https://my.lifetime.life/clubs/ma/metrowest-boston/classes/class-details.html?eventId=ZXhlcnA6MjQ4Ym9vazczMzM5NDoyMDI2LTA2LTA3,llm,"Monday 8, Tuesday 9, Wednesday 10, Thursday 11, Friday 12, Saturday 13",12 months - 2 years,,portal,https://my.lifetime.life/clubs/ma/metrowest-boston/programs/kids.html
Preschool Summer Program,https://worcesterjcc.org/preschool-summer-camp,llm,Weeks 1-4,3-5 years,,portal,https://worcesterjcc.org/summer-camps
Day Camp,https://worcesterjcc.org/day-camp,llm,Weeks 1-4,6-12 years,,portal,https://worcesterjcc.org/summer-camps
Sports Camp,https://worcesterjcc.org/youth-teen-sports,llm,Weeks 1-4,6-12 years,,portal,https://worcesterjcc.org/summer-camps
Camp Overnights,https://calleva.org/camp/camp-overnights,woocommerce,,,,session,https://calleva.org/tips-for-success-ultimate-parents-guide-to-summer-camp
Camp Scholarships and Financial Aid,https://calleva.org/camp/camp-scholarships,woocommerce,,,,session,https://calleva.org/tips-for-success-ultimate-parents-guide-to-summer-camp
Camp Gear for Sale,https://calleva.org/camp/camp-gear,woocommerce,,,,session,https://calleva.org/tips-for-success-ultimate-parents-guide-to-summer-camp
Camp Is Tech Free Overnight,https://campchampions.com/prospective-families/why-overnight-camp/camp-is-parent-free,llm,varies,grades K-12,,portal,https://campchampions.com/prospective-families/why-overnight-camp/camp-is-tech-free
Camp Wonderland,https://campwonderland.org/,llm,June 25 - August 11,Grades K-12,,portal,https://easternusa.salvationarmy.org/massachusetts/boston/camp-summerprograms
King's Lake Camp,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0108548,llm,June 12 - July 28,grades 1-6,,portal,https://salvationarmyusa.org/youth-services/summer-camps
"Camp and Conference Center (Camp Daley, Camp Gilmore, & Wilderness)",https://salvationarmyusa.org/kroc-center,llm,June 12 - July 28,grades 1-12,,portal,https://salvationarmyusa.org/youth-services/summer-camps
Camp Homelani Army Lake,https://salvationarmyusa.org/about-us,llm,June 26 - August 18,grades K-5,,portal,https://salvationarmyusa.org/youth-services/summer-camps
Camp Chickami- Day Camp,https://wsymca.org/camp-chickami,llm,No dates listed,grades 1-10,,portal,https://wsymca.org/camps
Camp Frank A.,https://wsymca.org/camp-frank-day,llm,No dates listed,7-16,,portal,https://wsymca.org/camps
Camp Pikati- Day Camp,https://wsymca.org/camp-pikati,llm,No dates listed,3-14,,portal,https://wsymca.org/camps
Camp Wells- Day Camp,https://wsymca.org/camps/camp-wells,llm,No dates listed,K-6,,portal,https://wsymca.org/camps
Camp Chickami,https://facebook.com/campchickami,llm,"Monday through Friday, 9 a.m. - 4 p.m., with extended care options",Grades 1-10 (ages 6-14),,portal,https://wsymca.org/camps/camp-chickami
Younger Kids Unit,https://wsymca.org/kids-corner,llm,"Monday through Friday, 9 a.m. - 4 p.m.",Entering Grades 3-5 (ages 8-10),,portal,https://wsymca.org/camps/camp-chickami
Older Girls Unit,https://wsymca.org/active-older-adults,llm,"Monday through Friday, 9 a.m. - 4 p.m.",Entering Grades 6-9 (ages 11-14),,portal,https://wsymca.org/camps/camp-chickami
